Metrix_name,uniqueID,Text_
"Diabetes tests â€“ foot examin",94,"84.81% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",95,"75.93% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",96,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",97,"76.42% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",98,"18.1 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",99,"10.27 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",100,"72.18% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",101,"54.30% of people in at-risk groups have had a flu vaccination"
"Identification of people with",102,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",103,"0.71 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",104,"0.87 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",105,"79.17% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",106,"87.49% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",107,"84.17% of people with schizophrenia"
"Mental health â€“ care plans",108,"90.83% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",109,"11.13% of patients reported that they could not be overheard in the reception area"
"Palliative care register",110,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",111,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",112,"84.38% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",113,"75.34% of patients reported they were satisfied with the opening hours"
Responsive,114,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",115,"Performing as or better than expected for 17 out of 17 indicators"
"Seeing preferred GP",116,"72.04% of patients reported they see or speak to a GP they prefer"
"Smoking support",117,"97.33% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",118,"87.86% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",119,"93.54% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",120,"88.89 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",121,"0.28 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",122,"5.42% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",123,"77.62% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",124,"0.19 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",125,"100% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",126,"90.73% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",127,"Performing as or better than expected for 5 out of 5 indicators"
Caring,128,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",129,"88.70% of women have attended cervical screening"
"Chronic Disease Management",130,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",131,"Low priority (Band 6)"
"Dementia review",132,"90.00% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",133,"84.66% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",134,"78.04% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",135,"84.76% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",136,"99.32% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",137,"90.36% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",138,"92.14% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",139,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",140,"67.61% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",141,"22.41 emergency admissions for ACS conditions per 1000 people"
"Flu vaccination rates (65 year",142,"78.32% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",143,"64.22% of people in at-risk groups have had a flu vaccination"
"Identification of people with",144,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",145,"1.28 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",146,"0.59 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",147,"83.38% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",148,"94.12% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",149,"97.62% of people with schizophrenia"
"Mental health â€“ care plans",150,"92.86% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",151,"1.87% of patients reported that they could not be overheard in the reception area"
"Palliative care register",152,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",153,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",154,"94.47% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",155,"87.71% of patients reported they were satisfied with the opening hours"
Responsive,156,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",157,"Performing as or better than expected for 17 out of 17 indicators"
"Seeing preferred GP",158,"67.43% of patients reported they see or speak to a GP they prefer"
"Smoking support",159,"99.04% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",160,"83.91% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",161,"99.32% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",162,"100 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",163,"0.35 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",164,"3.57% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",165,"71.91% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",166,"0.12 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",167,"100% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",168,"90.06% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",169,"Performing as or better than expected for 5 out of 5 indicators"
Caring,170,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",171,"82.16% of women have attended cervical screening"
"Chronic Disease Management",172,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",173,"Low priority (Band 6)"
"Dementia review",174,"83.33% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",175,"88.5% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",176,"88.53% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",177,"85.42% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",178,"97.63% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",179,"95.49% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",180,"94.29% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",181,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",182,"69.85% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",183,"16.76 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",184,"9.6 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",185,"69.88% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",186,"35.61% of people in at-risk groups have had a flu vaccination"
"Identification of people with",187,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",188,"0.65 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",189,"0.69 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",190,"81.54% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",191,"80.63% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",192,"100% of people with schizophrenia"
"Mental health â€“ care plans",193,"95.46% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",194,"4.15% of patients reported that they could not be overheard in the reception area"
"Palliative care register",195,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",196,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",197,"85.42% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",198,"75.70% of patients reported they were satisfied with the opening hours"
Responsive,199,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",200,"Performing as or better than expected for 16 out of 17 indicators"
"Seeing preferred GP",201,"37.85% of patients reported they see or speak to a GP they prefer"
"Smoking support",202,"98.35% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",203,"87.46% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",204,"85.77% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",205,"100 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",206,"0.32 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",207,"6.09% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",208,"80.70% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",209,"0.51 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",210,"100% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",211,"90.06% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",212,"Performing as or better than expected for 5 out of 5 indicators"
Caring,213,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",214,"82.16% of women have attended cervical screening"
"Chronic Disease Management",215,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",216,"Low priority (Band 6)"
"Dementia review",217,"83.33% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",218,"88.5% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",219,"88.53% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",220,"85.42% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",221,"97.63% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",222,"95.49% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",223,"94.29% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",224,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",225,"69.85% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",226,"16.76 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",227,"9.6 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",228,"69.88% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",229,"35.61% of people in at-risk groups have had a flu vaccination"
"Identification of people with",230,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",231,"0.65 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",232,"0.69 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",233,"81.54% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",234,"80.63% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",235,"100% of people with schizophrenia"
"Mental health â€“ care plans",236,"95.46% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",237,"4.15% of patients reported that they could not be overheard in the reception area"
"Palliative care register",238,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",239,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",240,"85.42% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",241,"75.70% of patients reported they were satisfied with the opening hours"
Responsive,242,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",243,"Performing as or better than expected for 16 out of 17 indicators"
"Seeing preferred GP",244,"37.85% of patients reported they see or speak to a GP they prefer"
"Smoking support",245,"98.35% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",246,"87.46% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",247,"85.77% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",248,"100 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",249,"0.32 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",250,"6.09% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",251,"80.70% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",252,"0.51 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",253,"100% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",254,"88.74% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",255,"Performing as or better than expected for 5 out of 5 indicators"
Caring,256,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",257,"95.91% of women have attended cervical screening"
"Chronic Disease Management",258,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",259,"Low priority (Band 6)"
"Dementia review",260,"88.10% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",261,"89.4% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",262,"86.74% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",263,"94.2% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",264,"98.53% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",265,"94.26% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",266,"92.92% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",267,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",268,"85.70% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",269,"18.31 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",270,"4.13 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",271,"77.86% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",272,"41.41% of people in at-risk groups have had a flu vaccination"
"Identification of people with",273,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",274,"0.72 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",275,"0.77 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",276,"82.97% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",277,"88.29% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",278,"92.65% of people with schizophrenia"
"Mental health â€“ care plans",279,"91.05% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",280,"8.58% of patients reported that they could not be overheard in the reception area"
"Palliative care register",281,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",282,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",283,"88.32% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",284,"86.44% of patients reported they were satisfied with the opening hours"
Responsive,285,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",286,"Performing as or better than expected for 16 out of 17 indicators"
"Seeing preferred GP",287,"44.86% of patients reported they see or speak to a GP they prefer"
"Smoking support",288,"96.85% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",289,"83.63% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",290,"92.47% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",291,"83.33 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",292,"0.28 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",293,"10.24% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",294,"73.67% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",295,"0.11 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",296,"100% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",297,"76.44% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",298,"Performing as or better than expected for 5 out of 5 indicators"
Caring,299,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",300,"87.84% of women have attended cervical screening"
"Chronic Disease Management",301,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",302,"Low priority (Band 6)"
"Dementia review",303,"95.06% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",304,"78.33% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",305,"80.07% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",306,"84.01% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",307,"97.22% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",308,"91.75% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",309,"92.58% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",310,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",311,"74.91% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",312,"16.9 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",313,"12.21 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",314,"74.93% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",315,"51.69% of people in at-risk groups have had a flu vaccination"
"Identification of people with",316,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",317,"0.66 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",318,"0.81 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",319,"87.78% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",320,"93.14% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",321,"97.53% of people with schizophrenia"
"Mental health â€“ care plans",322,"92.59% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",323,"5.01% of patients reported that they could not be overheard in the reception area"
"Palliative care register",324,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",325,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",326,"89.13% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",327,"81.93% of patients reported they were satisfied with the opening hours"
Responsive,328,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",329,"Performing as or better than expected for 17 out of 17 indicators"
"Seeing preferred GP",330,"49.84% of patients reported they see or speak to a GP they prefer"
"Smoking support",331,"97.14% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",332,"90.09% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",333,"95.24% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",334,"100 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",335,"0.33 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",336,"7.28% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",337,"80.11% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",338,"0.13 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",339,"98.18% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",340,"86.65% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",341,"Performing as or better than expected for 5 out of 5 indicators"
Caring,342,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",343,"82.27% of women have attended cervical screening"
"Chronic Disease Management",344,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",345,"Low priority (Band 6)"
"Dementia review",346,"80.20% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",347,"84.38% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",348,"84.46% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",349,"82.17% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",350,"96.73% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",351,"87.91% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",352,"91.80% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",353,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",354,"94.32% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",355,"15.71 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",356,"5.26 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",357,"76.89% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",358,"60.26% of people in at-risk groups have had a flu vaccination"
"Identification of people with",359,"This practice has a learning disabilities register"
